380,2.01E-02
384,8.60E-02
388,3.10E-02
392,1.75E-01
396,1.99E-01
400,1.02E-02
404,4.08E-02
408,9.16E-02
412,8.57E-02
416,1.59E-01
420,2.69E-01
424,3.37E-01
428,3.70E-01
432,3.99E-01
436,4.78E-01
440,4.82E-01
444,5.95E-01
448,7.35E-01
452,9.15E-01
456,1.12E+00
460,1.41E+00
464,1.86E+00
468,2.51E+00
472,3.40E+00
476,4.76E+00
480,6.45E+00
484,8.46E+00
488,1.08E+01
492,1.33E+01
496,1.61E+01
500,1.92E+01
504,2.21E+01
508,2.50E+01
512,2.74E+01
516,2.96E+01
520,3.13E+01
524,3.19E+01
528,3.21E+01
532,3.20E+01
536,3.16E+01
540,3.12E+01
544,3.01E+01
548,2.88E+01
552,2.73E+01
556,2.54E+01
560,2.34E+01
564,2.11E+01
568,1.85E+01
572,1.64E+01
576,1.44E+01
580,1.26E+01
584,1.09E+01
588,9.11E+00
592,7.93E+00
596,6.82E+00
600,5.82E+00
604,4.93E+00
608,4.13E+00
612,3.62E+00
616,3.25E+00
620,3.02E+00
624,2.99E+00
628,2.37E+00
632,1.68E+00
636,1.22E+00
640,9.67E-01
644,7.87E-01
648,6.72E-01
652,5.33E-01
656,4.98E-01
660,4.28E-01
664,2.78E-01
668,2.47E-01
672,3.28E-01
676,2.72E-01
680,1.63E-01
684,1.76E-01
688,2.39E-01
692,1.91E-01
696,1.83E-01
700,4.18E-01
704,6.93E-01
708,5.60E-01
712,2.28E-01
716,7.84E-02
720,1.01E-02
724,6.26E-02
728,1.31E-01
732,6.46E-02
736,3.10E-02
740,6.17E-02
744,1.36E-01
748,7.32E-02
752,7.10E-02
756,2.12E-02
760,2.04E-02
764,2.16E-02
768,7.47E-02
772,7.44E-02
776,1.80E-01
780,2.85E-02
