4/7/2009,,,,,,,,,,,,,,,
,410,430,450,470,490,510,530,550,570,590,610,630,650,670,690
25,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
45,47.56446991,48.33729216,48.91304348,47.79582367,48.54054054,54.79041916,57.62711864,58.07692308,57.64705882,57.14285714,55.51724138,51.34502924,46.00484262,44.01197605,41.13821138
65,25.85669782,27.5,27.19033233,27.80026991,31.18055556,39.43965517,44.01294498,43.89534884,43.62017804,42.55319149,39.46078431,33.76923077,27.53623188,23.55769231,20.40322581
85,13.28,14.96323529,15.28013582,16.8852459,21.58653846,30.3986711,36.17021277,36.65048544,36.20689655,34.18803419,29.92565056,23.85869565,17.11711712,12.87215412,9.844357977
105,8.058252427,8.568421053,9.584664537,12.04678363,16.94339623,25.84745763,31.7016317,32.89760349,32.02614379,29.55665025,25.07788162,18.84120172,12.66666667,8.448275862,5.622222222
125,3.842592593,4.827995255,6.293706294,8.956521739,13.81538462,22.64851485,28.75264271,30.38229376,29.57746479,26.84563758,21.35278515,15.24305556,9.5,5.7421875,3.395973154
145,2.184210526,3.282258065,4.712041885,7.357142857,12.20108696,20.9382151,27.30923695,29.54990215,28.21497121,25.10460251,19.5863747,13.14371257,7.723577236,4.401197605,2.386792453
165,1.338709677,2.325714286,3.765690377,6.242424242,11.03194103,19.30379747,26.25482625,28.27715356,27.22222222,23.57563851,17.73127753,11.55263158,6.418918919,3.402777778,1.721088435
185,0.976470588,1.866972477,3.225806452,5.659340659,10.1814059,18.55983773,25.27881041,27.40471869,26.53429603,22.68431002,16.91176471,10.57831325,5.654761905,2.826923077,1.352941176
205,0.757990868,1.547528517,2.821316614,5.099009901,9.635193133,17.66409266,24.54873646,26.8683274,25.65445026,22.09944751,16.06786427,9.799107143,5.039787798,2.441860465,1.095238095
